country,roster_name,position,shirt_number,found_in_club_data,club_player_id,club_player_name,club_team_name
Morocco (MAR),HALHAL Redouane,Defender,25,True,138305.0,Redouane Halhal,Montpellier
Morocco (MAR),SALAH EDDINE,Defender,26,False,,,
Netherlands (NED),VAN HECKE,Defender,6,False,,,
Netherlands (NED),KLUIVERT Justin,Midfielder,7,False,,,
Netherlands (NED),WIEFFER Mats,Defender,12,False,,,
Netherlands (NED),ROEFS Robin,Goalkeeper,13,False,,,
Netherlands (NED),TIL Guus,Midfielder,16,False,,,
Netherlands (NED),BROBBEY Brian,Forward,19,False,,,
Netherlands (NED),DE JONG,Midfielder,21,True,8118.0,Frenkie de Jong,Barcelona
Netherlands (NED),FLEKKEN Mark,Goalkeeper,23,False,,,
Netherlands (NED),SUMMERVILLE Crysencio,Forward,24,False,,,
Netherlands (NED),HATO Jorrel,Defender,25,False,,,
Netherlands (NED),TIMBER Quinten,Midfielder,26,False,,,
New Zealand (NZL),CROCOMBE Max,Goalkeeper,1,False,,,
New Zealand (NZL),PAYNE Tim,Defender,2,False,,,
New Zealand (NZL),DE VRIES,Defender,3,False,,,
New Zealand (NZL),BINDON Tyler,Defender,4,False,,,
New Zealand (NZL),BOXALL Michael,Defender,5,False,,,
New Zealand (NZL),BELL Joe,Midfielder,6,False,,,
New Zealand (NZL),ROGERSON Logan,Forward,7,False,,,
New Zealand (NZL),STAMENIC Marko,Midfielder,8,False,,,
New Zealand (NZL),WOOD Chris,Forward,9,False,,,
New Zealand (NZL),SINGH Sarpreet,Midfielder,10,False,,,
New Zealand (NZL),JUST Elijah,Midfielder,11,False,,,
New Zealand (NZL),PAULSEN Alex,Goalkeeper,12,False,,,
New Zealand (NZL),CACACE Liberato,Defender,13,False,,,
New Zealand (NZL),RUFER Alex,Midfielder,14,False,,,
New Zealand (NZL),PIJNAKER Nando,Defender,15,False,,,
New Zealand (NZL),SURMAN Finn,Defender,16,False,,,
New Zealand (NZL),BARBAROUSES Kosta,Forward,17,False,,,
New Zealand (NZL),WAINE Ben,Forward,18,False,,,
New Zealand (NZL),OLD Ben,Midfielder,19,False,,,
New Zealand (NZL),McCOWATT Callum,Midfielder,20,False,,,
New Zealand (NZL),RANDALL Jesse,Forward,21,False,,,
New Zealand (NZL),WOUD Michael,Goalkeeper,22,False,,,
New Zealand (NZL),THOMAS Ryan,Midfielder,23,False,,,
New Zealand (NZL),ELLIOT Callan,Defender,24,False,,,
New Zealand (NZL),BAYLISS Lachlan,Midfielder,25,False,,,
New Zealand (NZL),SMITH Tommy,Defender,26,False,,,
Norway (NOR),NYLAND Orjan,Goalkeeper,1,False,,,
Norway (NOR),THORSBY Morten,Midfielder,2,False,,,
Norway (NOR),AJER Kristoffer,Defender,3,False,,,
Norway (NOR),OSTIGARD Leo,Defender,4,False,,,
Norway (NOR),MOLLER WOLFE,Defender,5,False,,,
Norway (NOR),BERG Patrick,Midfielder,6,False,,,
Norway (NOR),SORLOTH Alexander,Forward,7,False,,,
Norway (NOR),BERGE Sander,Midfielder,8,False,,,
Norway (NOR),HAALAND Erling,Forward,9,False,,,
Norway (NOR),ODEGAARD Martin,Midfielder,10,False,,,
Norway (NOR),STRAND LARSEN,Forward,11,False,,,
Norway (NOR),TANGVIK Sander,Goalkeeper,12,False,,,
Norway (NOR),SELVIK Egil,Goalkeeper,13,False,,,
Norway (NOR),AURSNES Fredrik,Midfielder,14,False,,,
Norway (NOR),BJORKAN Fredrik,Defender,15,False,,,
Norway (NOR),HOLMGREN PEDERSEN,Defender,16,False,,,
Norway (NOR),HEGGEM Torbjorn,Defender,17,False,,,
Norway (NOR),THORSTVEDT Kristian,Midfielder,18,False,,,
Norway (NOR),AASGAARD Thelo,Midfielder,19,False,,,
Norway (NOR),NUSA Antonio,Forward,20,False,,,
Norway (NOR),SCHJELDERUP Andreas,Midfielder,21,False,,,
Norway (NOR),BOBB Oscar,Midfielder,22,False,,,
Norway (NOR),HAUGE Jens,Midfielder,23,True,29925.0,Jens Petter Hauge,Eintracht Frankfurt
Norway (NOR),LANGAS Sondre,Defender,24,False,,,
Norway (NOR),FALCHENER Henrik,Defender,25,False,,,
Norway (NOR),RYERSON Julian,Forward,26,True,12387.0,Julian Ryerson,Borussia Dortmund
Panama (PAN),MEJIA Luis,Goalkeeper,1,False,,,
Panama (PAN),RODRIGUEZ Tomas,Forward,9,False,,,
Panama (PAN),SAMUDIO Cesar,Goalkeeper,12,False,,,
Panama (PAN),RAMOS Jiovany,Defender,13,False,,,
Panama (PAN),ANDRADE Andres,Defender,16,False,,,
Panama (PAN),WATERMAN Cecilio,Forward,18,False,,,
Panama (PAN),QUINTERO Alberto,Midfielder,19,False,,,
Panama (PAN),LONDONO Azarias,Forward,24,False,,,
Panama (PAN),GUTIERREZ Jorge,Defender,26,False,,,
Paraguay (PAR),FERNANDEZ Gatito,Goalkeeper,1,False,,,
Paraguay (PAR),CACERES Juan,Defender,4,False,,,
Paraguay (PAR),ALONSO Junior,Defender,6,False,,,
Paraguay (PAR),GOMEZ Diego,Midfielder,8,True,222155.0,Diego Alexander Gómez Amarilla,Inter Miami
Paraguay (PAR),SANABRIA Antonio,Forward,9,True,6880.0,Arnaldo Antonio Sanabria Ayala,Real Betis
Paraguay (PAR),MAURICIO Mauricio,Midfielder,11,False,,,
Paraguay (PAR),GILL Orlando,Goalkeeper,12,False,,,
Paraguay (PAR),CANALE Jose,Defender,13,False,,,
Paraguay (PAR),GOMEZ Gustavo,Defender,15,False,,,
Paraguay (PAR),OJEDA Braian,Midfielder,20,False,,,
Paraguay (PAR),AVALOS Gabriel,Forward,21,False,,,
Paraguay (PAR),OLVEIRA Gaston,Goalkeeper,22,False,,,
Paraguay (PAR),GALARZA Matias,Midfielder,23,False,,,
Paraguay (PAR),CABALLERO Gustavo,Midfielder,24,False,,,
Paraguay (PAR),PITTA Isidro,Forward,25,False,,,
Paraguay (PAR),MAIDANA Alexandro,Defender,26,False,,,
Portugal (POR),TOMAS ARAUJO,Defender,4,False,,,
Portugal (POR),JOSE SA,Goalkeeper,12,False,,,
Portugal (POR),RENATO VEIGA,Defender,13,False,,,
Portugal (POR),FRANCISCO TRINCAO,Forward,16,True,22390.0,Francisco António Machado Mota de Castro Trincão,Barcelona
Portugal (POR),RUI SILVA,Goalkeeper,22,True,24140.0,Rui Tiago Dantas da Silva,Granada
Portugal (POR),SAMU COSTA,Defender,24,False,,,
Qatar (QAT),MAHMOUD ABUNADA,Goalkeeper,1,False,,,
Qatar (QAT),LUCAS MENDES,Defender,3,False,,,
Qatar (QAT),ISSA LAYE,Defender,4,False,,,
Qatar (QAT),JASSEM GABER,Defender,5,False,,,
Qatar (QAT),EDMILSON JUNIOR,Forward,8,False,,,
Qatar (QAT),AYOUB ALOUI,Defender,13,False,,,
Qatar (QAT),YUSUF ABDURISAG,Forward,15,False,,,
Qatar (QAT),AHMED ALGANEHI,Midfielder,17,False,,,
Qatar (QAT),SULTAN ALBRAKE,Defender,18,False,,,
Qatar (QAT),AHMED FATHY,Midfielder,20,False,,,
Qatar (QAT),SALAH ZAKARIA,Goalkeeper,21,False,,,
Qatar (QAT),TAHSIN MOHAMMED,Forward,24,False,,,
Qatar (QAT),ALHASHMI ALHUSSEIN,Defender,25,False,,,
Qatar (QAT),MOHAMED MANAI,Forward,26,False,,,
Saudi Arabia (KSA),NAWAF ALAQIDI,Goalkeeper,1,False,,,
Saudi Arabia (KSA),ALI MAJRASHI,Defender,2,False,,,
Saudi Arabia (KSA),ALI LAJAMI,Defender,3,False,,,
Saudi Arabia (KSA),MUSAB ALJUWAYR,Midfielder,7,False,,,
Saudi Arabia (KSA),AIMAN YAHYA,Forward,8,False,,,
Saudi Arabia (KSA),NAWAF BU,Defender,13,False,,,
Saudi Arabia (KSA),HASSAN KADISH,Defender,14,False,,,
Saudi Arabia (KSA),ABDULLAH ALKHAIBARI,Midfielder,15,False,,,
Saudi Arabia (KSA),ZIYAD ALJOHANI,Midfielder,16,False,,,
Saudi Arabia (KSA),KHALID ALGHANNAM,Forward,17,False,,,
Saudi Arabia (KSA),ALA ALHAJJI,Midfielder,18,False,,,
Saudi Arabia (KSA),ABDULLAH ALHAMDDAN,Forward,19,False,,,
Saudi Arabia (KSA),SULTAN MANDASH,Forward,20,False,,,
Saudi Arabia (KSA),AHMED ALKASSAR,Goalkeeper,22,False,,,
Saudi Arabia (KSA),MOTEB ALHARBI,Defender,24,False,,,
Saudi Arabia (KSA),JEHAD THIKRI,Defender,25,False,,,
Saudi Arabia (KSA),MOHAMMED ABU,Defender,26,False,,,
Scotland (SCO),HICKEY Aaron,Defender,2,False,,,
Scotland (SCO),FLETCHER Tyler,Midfielder,8,False,,,
Scotland (SCO),KELLY Liam,Goalkeeper,12,False,,,
Scotland (SCO),STEWART Ross,Forward,14,False,,,
Scotland (SCO),SOUTTAR John,Defender,15,False,,,
Scotland (SCO),HYAM Dominic,Defender,16,False,,,
Scotland (SCO),GANNON-DOAK Ben,Forward,17,False,,,
Scotland (SCO),HIRST George,Forward,18,False,,,
Scotland (SCO),FERGUSON Lewis,Midfielder,19,False,,,
Scotland (SCO),GORDON Craig,Goalkeeper,21,False,,,
Scotland (SCO),CURTIS Findlay,Forward,25,False,,,
Senegal (SEN),DIOUF Yehvann,Goalkeeper,1,True,24987.0,Yehvann Diouf,Stade de Reims
Senegal (SEN),SARR Mamadou,Defender,2,False,,,
Senegal (SEN),DIAO Assane,Forward,7,False,,,
Senegal (SEN),NDIAYE Cherif,Forward,12,False,,,
Senegal (SEN),MBAYE Ibrahim,Forward,20,False,,,
Senegal (SEN),DIARRA Habib,Midfielder,21,False,,,
Senegal (SEN),NDIAYE Bara,Midfielder,22,False,,,
Senegal (SEN),DIAW Mory,Goalkeeper,23,True,48502.0,Mory Diaw,Clermont Foot
Senegal (SEN),MENDY Antoine,Defender,24,True,117109.0,Antoine Mendy,OGC Nice
Senegal (SEN),DIOUF El,Defender,25,False,,,
South Africa (RSA),MATULUDI Thabang,Defender,2,False,,,
South Africa (RSA),NDAMANE Khulumani,Defender,3,False,,,
South Africa (RSA),MBATHA Thalente,Midfielder,5,False,,,
South Africa (RSA),MOREMI Tshepang,Forward,8,False,,,
South Africa (RSA),FOSTER Lyle,Forward,9,False,,,
South Africa (RSA),MOFOKENG Relebohile,Forward,10,False,,,
South Africa (RSA),MBOKAZI Mbekezeli,Defender,14,False,,,
South Africa (RSA),RAYNERS Iqraam,Forward,15,False,,,
South Africa (RSA),CHAINE Sipho,Goalkeeper,16,False,,,
South Africa (RSA),KABINI Samukele,Defender,18,False,,,
South Africa (RSA),OKON Ime,Defender,21,False,,,
South Africa (RSA),GOSS Ricardo,Goalkeeper,22,False,,,
South Africa (RSA),MAKHANYA Olwethu,Defender,24,False,,,
South Africa (RSA),SEBELEBELE Kamogelo,Forward,25,False,,,
South Africa (RSA),CROSS Bradley,Defender,26,False,,,
Spain (ESP),PUBILL Marc,Defender,2,False,,,
Spain (ESP),PINO Yeremy,Forward,11,False,,,
Spain (ESP),PORRO Pedro,Defender,12,True,11292.0,Pedro Antonio Porro Sauceda,Real Valladolid
Spain (ESP),GARCIA Joan,Goalkeeper,13,False,,,
Spain (ESP),CUBARSI Pau,Defender,22,False,,,
Spain (ESP),MUNOZ Victor,Forward,25,False,,,
Spain (ESP),IGLESIAS Borja,Forward,26,True,11391.0,Borja Iglesias Quintas,Bayer Leverkusen
Sweden (SWE),WIDELL ZETTERSTROM,Goalkeeper,1,False,,,
Sweden (SWE),LAGERBIELKE Gustaf,Defender,2,False,,,
Sweden (SWE),HIEN Isak,Defender,4,False,,,
Sweden (SWE),GUDMUNDSSON Gabriel,Defender,5,True,29594.0,Gabriel Gudmundsson,Lille
Sweden (SWE),JOHANSSON Herman,Defender,6,False,,,
Sweden (SWE),BERGVALL Lucas,Midfielder,7,False,,,
Sweden (SWE),SVENSSON Daniel,Defender,8,False,,,
Sweden (SWE),NYGREN Benjamin,Midfielder,10,False,,,
Sweden (SWE),ELANGA Anthony,Forward,11,False,,,
Sweden (SWE),JOHANSSON Viktor,Goalkeeper,12,False,,,
Sweden (SWE),SEMA Ken,Midfielder,13,False,,,
Sweden (SWE),EKDAL Hjalmar,Defender,14,False,,,
Sweden (SWE),STARFELT Carl,Defender,15,False,,,
Sweden (SWE),KARLSTROM Jesper,Midfielder,16,False,,,
Sweden (SWE),GYOKERES Viktor,Forward,17,False,,,
Sweden (SWE),AYARI Yasin,Midfielder,18,False,,,
Sweden (SWE),SVANBERG Mattias,Midfielder,19,True,15879.0,Mattias Svanberg,Wolfsburg
Sweden (SWE),SMITH Eric,Defender,20,False,,,
Sweden (SWE),BERNHARDSSON Alexander,Defender,21,False,,,
Sweden (SWE),ZENELI Besfort,Midfielder,22,False,,,
Sweden (SWE),NORDFELDT Kristoffer,Goalkeeper,23,False,,,
Sweden (SWE),STROUD Elliot,Defender,24,False,,,
Sweden (SWE),NILSSON Gustaf,Forward,25,False,,,
Sweden (SWE),ALI Taha,Forward,26,False,,,
Switzerland (SUI),MUHEIM Miro,Defender,2,False,,,
Switzerland (SUI),MANZAMBI Johan,Midfielder,9,False,,,
Switzerland (SUI),MVOGO Yvon,Goalkeeper,12,True,11467.0,Yvon Landry Mvogo,Lorient
Switzerland (SUI),KELLER Marvin,Goalkeeper,21,False,,,
Switzerland (SUI),AMENDA Aurele,Defender,24,False,,,
Switzerland (SUI),JAQUEZ Luca,Defender,25,False,,,
Switzerland (SUI),ITTEN Cedric,Forward,26,False,,,
Tunisia (TUN),CHAMAKH Mouhib,Goalkeeper,1,False,,,
Tunisia (TUN),REKIK Omar,Defender,4,False,,,
Tunisia (TUN),AROUS Adam,Defender,5,False,,,
Tunisia (TUN),SAAD Elias,Forward,8,False,,,
Tunisia (TUN),MASTOURI Hazem,Forward,9,False,,,
Tunisia (TUN),GHARBI Ismael,Midfielder,11,True,105848.0,Ismaël Gharbi,Paris Saint-Germain
Tunisia (TUN),BEN OUANES,Defender,12,False,,,
Tunisia (TUN),KHEDIRA Rani,Midfielder,13,True,9402.0,Rani Khedira,Union Berlin
Tunisia (TUN),AYARI Khalil,Midfielder,14,False,,,
Tunisia (TUN),HADJ MAHMOUD,Midfielder,15,False,,,
Tunisia (TUN),ELLOUMI Rayan,Forward,18,False,,,
Tunisia (TUN),CHAOUAT Firas,Forward,19,False,,,
Tunisia (TUN),VALERY Yan,Defender,20,True,22117.0,Yan Valery,Angers
Tunisia (TUN),BEN HMIDA,Defender,21,False,,,
Tunisia (TUN),BEN HESSEN,Goalkeeper,22,False,,,
Tunisia (TUN),NEFFATI Moutaz,Defender,23,False,,,
Tunisia (TUN),CHIKHAOUI Raed,Defender,24,False,,,
Tunisia (TUN),TOUNEKTI Sebastian,Midfielder,26,False,,,
Türkiye (TUR),GUL Deniz,Forward,9,False,,,
Türkiye (TUR),ELMALI Eren,Defender,13,False,,,
Türkiye (TUR),KABAK Ozan,Defender,15,True,20770.0,Ozan Muhammed Kabak,Hoffenheim
Türkiye (TUR),AYDIN Oguz,Forward,24,False,,,
Türkiye (TUR),UZUN Can,Forward,26,False,,,
USA (USA),TRUSTY Auston,Defender,6,False,,,
USA (USA),ROBINSON Miles,Defender,12,False,,,
USA (USA),BERHALTER Sebastian,Midfielder,14,False,,,
USA (USA),ROLDAN Cristian,Midfielder,15,False,,,
USA (USA),FREEMAN Alex,Defender,16,False,,,
USA (USA),ARFSTEN Max,Defender,18,False,,,
USA (USA),McKENZIE Mark,Defender,22,False,,,
USA (USA),FREESE Matt,Goalkeeper,24,False,,,
USA (USA),BRADY Chris,Goalkeeper,25,False,,,
USA (USA),ZENDEJAS Alex,Forward,26,False,,,
Uruguay (URU),MELE Santiago,Goalkeeper,12,False,,,
Uruguay (URU),MARTINEZ Emiliano,Midfielder,15,False,,,
Uruguay (URU),AGUIRRE Rodrigo,Forward,19,False,,,
Uruguay (URU),VINAS Federico,Forward,21,False,,,
Uruguay (URU),PIQUEREZ Joaquin,Midfielder,22,False,,,
Uruguay (URU),BUENO Santiago,Defender,24,False,,,
Uruguay (URU),SANABRIA Juan,Midfielder,25,False,,,
Uruguay (URU),ZALAZAR Rodrigo,Midfielder,26,False,,,
Uzbekistan (UZB),YUSUPOV Utkir,Goalkeeper,1,False,,,
Uzbekistan (UZB),KHUSANOV Abdukodir,Defender,2,False,,,
Uzbekistan (UZB),ALIJONOV Khojiakbar,Defender,3,False,,,
Uzbekistan (UZB),SAYFIEV Farrukh,Defender,4,False,,,
Uzbekistan (UZB),ASHURMATOV Rustam,Defender,5,False,,,
Uzbekistan (UZB),MOZGOVOY Akmal,Midfielder,6,False,,,
Uzbekistan (UZB),SHUKUROV Otabek,Midfielder,7,False,,,
Uzbekistan (UZB),ISKANDEROV Jamshid,Midfielder,8,False,,,
Uzbekistan (UZB),XAMROBEKOV Odiljon,Midfielder,9,False,,,
Uzbekistan (UZB),JIYANOV Ruslanbek,Midfielder,10,False,,,
Uzbekistan (UZB),URUNOV Oston,Midfielder,11,False,,,
Uzbekistan (UZB),NEMATOV Abduvohid,Goalkeeper,12,False,,,
Uzbekistan (UZB),NASRULLAEV Sherzod,Defender,13,False,,,
Uzbekistan (UZB),SHOMURODOV Eldor,Forward,14,False,,,
Uzbekistan (UZB),ESHMURODOV Umar,Defender,15,False,,,
Uzbekistan (UZB),ERGASHEV Botirali,Goalkeeper,16,False,,,
Uzbekistan (UZB),KHAMDAMOV Dostonbek,Midfielder,17,False,,,
Uzbekistan (UZB),ABDULLAEV Abdulla,Defender,18,False,,,
Uzbekistan (UZB),GANIEV Azizjon,Midfielder,19,False,,,
Uzbekistan (UZB),AMONOV Azizbek,Forward,20,False,,,
Uzbekistan (UZB),SERGEEV Igor,Forward,21,False,,,
Uzbekistan (UZB),FAYZULLAEV Abbosbek,Midfielder,22,False,,,
Uzbekistan (UZB),ESANOV Sherzod,Midfielder,23,False,,,
Uzbekistan (UZB),KARIMOV Behruzjon,Defender,24,False,,,
Uzbekistan (UZB),ULMASALIYEV Avazbek,Defender,25,False,,,
Uzbekistan (UZB),UROZOV Jakhongir,Defender,26,False,,,
